OBJECTID,Park Name,Park ID,Latitude,Longitude,Year Established,Acres,Days Open,Operating Hours,Phone Number,Website,Address,Restroom Available,Community Center Available,Natrure Center Available,ADA Accessible,Concessions Available,Dog Park Available,Baseball Fields Available,Basketball Available,Mountain Biking Available,Boating Available,Camping Available,Disc Golf Course Available,Fishing Available,Golf Course Available,Hiking Available,Historic Site,Horseback Riding Available,Lake Available,Picnic Shelters Available,Number of Shelters Available,Playground Available,School Site,Soccer Fields Available,Spray Park Available,Skate Park Available,Swimming Pool Available,Tennis Courts Available,Walking/Jogging Available,Email,Description,Status,Volleyball Available,Football/Multi-Purpose Available,Canoe Launch Available,Community Garden Available,Common Name,Park Classification,City,State,Zip Code,GlobalID
142251,Elizabeth Park,PARK_13,36.17865826,-86.80315406,1909,1.6,"Daily, Center: Monday-Friday",Dawn to Dusk,(615) 862-8449,http://nashville.gov/Parks-and-Recreation/Community-Centers-and-Recreation/Neighborhood-Recreation-Centers.aspx,1701 Arthur Ave,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,0,No,No,No,No,No,No,No,No,metroparks@nashville.gov,"Small park with basketball courts, grassy area, and a community center. ",PARK,No,No,No,No,Elizabeth Park,Pocket,Nashville,TN,37208,678ccfdc-c361-43a6-8e13-dfa38d7fcbe6
142252,Radnor Lake State Natural Area,PARK_194,36.06119,-86.80296,1973,1245.01,Daily,6AM - Dark,(615) 373-3467,http://www.tn.gov/environment/parks/RadnorLake/,1160 Otter Creek Road,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,0,No,No,No,No,No,No,No,Yes,TNStateParks@tn.gov,"Radnor Lake State Park is located in Davidson County in the midst of the Overton Hills, south of Metropolitan Nashville in the Oak Hill Community. This natural area provides a variety of scenic spots and a diversity of natural habitats ranging from the lake, to streams and placid sloughs. Wildlife and numerous species of plants are in abundance. It is a place that provides scenic, biological, geological, and passive recreational opportunities not found in other metropolitan areas of Nashville's size.",PARK,No,No,No,No,Radnor Lake State Natural Area,,Nashville,TN,37220,f49501f3-0010-4f23-8875-1ee7b4c6a482
142253,St. Bernard Park,PARK_74,36.13166532,-86.80244197,1996,1.71,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,21st Ave and Bernard Ave,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,metroparks@nashville.gov,"Small, walk-through park. ",PARK,No,No,No,No,St. Bernard Park,Pocket,Nashville,TN,37232,0d8e0028-9a19-4aa2-ac9f-3a201a0ac4d9
142254,Watkins Park,PARK_22,36.16257439,-86.79950791,1901,8.12,"Daily, Center: Monday-Friday",Dawn to 11 pm,(615) 862-8468,http://nashville.gov/Parks-and-Recreation/Parks.aspx,616 17th Ave North,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,1,Yes,No,No,Yes,No,No,Yes,Yes,metroparks@nashville.gov,"Watkins Park is a lovely, neighborhood park with a spray park element, a playground, tennis courts, and lots of grassy area. ",PARK,No,No,No,No,Watkins Park,Neighborhood,Nashville,TN,37203,a32582d8-4b10-4c1c-839c-9378a67e08fe
142255,William Edmondson Park,PARK_59,36.1594138,-86.79733617,1979,0.86,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,1700 Charlotte Ave,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,Yes,metroparks@nashville.gov,"Named after William Edmondson, the famous Nashville sculptor who was the first African American to be able to show at the Museum of Modern Art.",PARK,No,No,No,No,Edmondson Park,Pocket,Nashville,TN,37203,7e1e5136-eefd-4fb8-90a4-9e11a7c81a4a
142256,Hope Gardens Park,PARK_64,36.1708647,-86.79474459,2000,0.4,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,1009 Phillips St,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,No,No,No,No,No,metroparks@nashville.gov,"Hope Gardens Park is a small community park, with a gazebo, playground, and jungle gym. ",PARK,No,No,No,No,Hope Gardens Park,Pocket,Nashville,TN,37208,36ca6761-2921-4619-bc06-45381afbed6f
142257,Owen Bradley Park,PARK_28,36.15160071,-86.7919966,1975,0.59,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,"1 Music Square E, at Division St.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0,No,No,No,No,No,No,No,No,metroparks@nashville.gov,Small park with statues. ,PARK,No,No,No,No,Owen Bradley Park,Pocket,Nashville,TN,37203,952b9c3d-0c8c-4082-bddc-ba3e12102be0
142258,Morgan Park,PARK_12,36.18074862,-86.78999452,1910,6.63,"Daily, Center: Monday-Friday",Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,411 Hume Street,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,0,Yes,No,No,No,No,No,No,No,metroparks@nashville.gov,"Morgan Park is located next to the Morgan Park Recreation Center and serves as a trailhead for Magdeburg Greenway, connecting to the Cumberland River Greenway. There is a fountain dedicated to the historical 'Sulfur Springs' incident and recreational facilities.",PARK,No,Yes,No,No,Morgan Park,Neighborhood,Nashville,TN,37208,2e9adf72-3dcb-4677-84eb-89027ab7d8be
142259,Flora Wilson Community Park,PARK_160,36.14644348,-86.78956045,2012,0.35,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,"On Grand Ave, between 14th Ave S and 15th Ave S",No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,No,metroparks@nashville.gov,This is a great example of a pocket park created with community input to serve as open space for the neighborhood.,PARK,No,No,No,No,Flora Wilson Park,Pocket,Nashville,TN,37232,e7aa2364-019f-45a8-b411-9548d92109b7
142260,Tony Rose Park,PARK_30,36.15003623,-86.78945289,1975,2.31,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,8 Music Circle East,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,No,No,No,No,No,metroparks@nashville.gov,Tony Rose Park has a playground and picnic area with grills. ,PARK,No,No,No,No,Tony Rose Park,Pocket,Nashville,TN,37203,9567e44e-624e-4813-8535-597b9ffd3834
142261,Sevier Park,PARK_36,36.11916887,-86.78919068,1945,20.41,"Daily, Center: Monday-Saturday",Dawn to 11 pm,(615) 862-8466,http://nashville.gov/Parks-and-Recreation/Parks.aspx,3021 Lealand Lane,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,2,Yes,No,No,No,No,No,Yes,Yes,metroparks@nashville.gov,"Sevier Park is a big, multi-purpose park with large, grassy fields, picnic areas, and also has historical significance. ",PARK,No,No,No,No,Sevier Park,Community,Nashville,TN,37204,79e91d1c-c389-4a79-8058-17722996eb20
